Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies
\input\rtls.xml	7457	-	0	0	0	0	0	0	6	115	0	0	0	0	0	0	0	0	0	0	1006	183	0	0
input/examples/rtlsAuxiliaryFunction-example.xml	2629	16	11	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	271	227	0	0
input/examples/rtlsDevice-example.xml	465	9	0	0	0	0	0	0	0	513	0	0	0	0	0	0	0	0	0	0	206	88	0	0
input/examples/rtlsLocation-example.xml	420	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	212	92	0	0
input/examples/rtlsMessageBundleEnroll-example.xml	1705	10	3	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	257	439	0	0
input/examples/rtlsMessageBundleLocationUpdate-example.xml	2661	11	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	321	93	0	0
input/examples/rtlsMessageBundleUnenroll-example.xml	1707	8	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	208	98	0	0
input/resources/CS-rtlsMessageEvents.xml	2555	5	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	261	535	0	0
input/resources/VS-rtlsMessageTypes.xml	882	3	0	0	1	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	199	485	0	0
input/resources/rtlsDevice.xml	1924	5	0	58	0	0	0	1	0	39	0	0	1	0	0	0	0	1	0	0	4170	1313	0	0
input/resources/rtlsLocation.xml	1281	7	0	13	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	2843	943	0	0
input/resources/rtlsMessageBundle.xml	2222	12	0	27	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	3544	1196	0	0
input/resources/rtlsMessageHeader.xml	2138	10	0	45	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	3302	858	0	0
